season,round,track,driver,team,grid_position,final_position,status,points_race,driver_points_before,team_points_before,finish_in_points
2022,1,Bahrain Grand Prix,LEC,Ferrari,1.0,1.0,Finished,26.0,0.0,0.0,1.0
2022,1,Bahrain Grand Prix,SAI,Ferrari,3.0,2.0,Finished,18.0,0.0,26.0,1.0
2022,1,Bahrain Grand Prix,HAM,Mercedes,5.0,3.0,Finished,15.0,0.0,0.0,1.0
2022,1,Bahrain Grand Prix,RUS,Mercedes,9.0,4.0,Finished,12.0,0.0,15.0,1.0
2022,1,Bahrain Grand Prix,MAG,Haas F1 Team,7.0,5.0,Finished,10.0,0.0,0.0,1.0
2022,1,Bahrain Grand Prix,BOT,Alfa Romeo,6.0,6.0,Finished,8.0,0.0,0.0,1.0
2022,1,Bahrain Grand Prix,OCO,Alpine,11.0,7.0,Finished,6.0,0.0,0.0,1.0
2022,1,Bahrain Grand Prix,TSU,AlphaTauri,16.0,8.0,Finished,4.0,0.0,0.0,1.0
2022,1,Bahrain Grand Prix,ALO,Alpine,8.0,9.0,Finished,2.0,0.0,6.0,1.0
2022,1,Bahrain Grand Prix,ZHO,Alfa Romeo,15.0,10.0,Finished,1.0,0.0,8.0,1.0
2022,1,Bahrain Grand Prix,MSC,Haas F1 Team,12.0,11.0,Finished,0.0,0.0,10.0,0.0
2022,1,Bahrain Grand Prix,STR,Aston Martin,19.0,12.0,Finished,0.0,0.0,0.0,0.0
2022,1,Bahrain Grand Prix,ALB,Williams,14.0,13.0,Finished,0.0,0.0,0.0,0.0
2022,1,Bahrain Grand Prix,RIC,McLaren,18.0,14.0,Finished,0.0,0.0,0.0,0.0
2022,1,Bahrain Grand Prix,NOR,McLaren,13.0,15.0,Finished,0.0,0.0,0.0,0.0
2022,1,Bahrain Grand Prix,LAT,Williams,20.0,16.0,Finished,0.0,0.0,0.0,0.0
2022,1,Bahrain Grand Prix,HUL,Aston Martin,17.0,17.0,Finished,0.0,0.0,0.0,0.0
2022,1,Bahrain Grand Prix,PER,Red Bull Racing,4.0,18.0,Fuel pressure,0.0,0.0,0.0,0.0
2022,1,Bahrain Grand Prix,VER,Red Bull Racing,2.0,19.0,Fuel pressure,0.0,0.0,0.0,0.0
2022,1,Bahrain Grand Prix,GAS,AlphaTauri,10.0,20.0,Power Unit,0.0,0.0,4.0,0.0
2022,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,4.0,1.0,Finished,25.0,0.0,0.0,1.0
2022,2,Saudi Arabian Grand Prix,LEC,Ferrari,2.0,2.0,Finished,19.0,26.0,44.0,1.0
2022,2,Saudi Arabian Grand Prix,SAI,Ferrari,3.0,3.0,Finished,15.0,18.0,63.0,1.0
2022,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,1.0,4.0,Finished,12.0,0.0,25.0,1.0
2022,2,Saudi Arabian Grand Prix,RUS,Mercedes,6.0,5.0,Finished,10.0,12.0,27.0,1.0
2022,2,Saudi Arabian Grand Prix,OCO,Alpine,5.0,6.0,Finished,8.0,6.0,8.0,1.0
2022,2,Saudi Arabian Grand Prix,NOR,McLaren,11.0,7.0,Finished,6.0,0.0,0.0,1.0
2022,2,Saudi Arabian Grand Prix,GAS,AlphaTauri,9.0,8.0,Finished,4.0,0.0,4.0,1.0
2022,2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,10.0,9.0,Finished,2.0,10.0,10.0,1.0
2022,2,Saudi Arabian Grand Prix,HAM,Mercedes,15.0,10.0,Finished,1.0,15.0,37.0,1.0
2022,2,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,12.0,11.0,Finished,0.0,1.0,9.0,0.0
2022,2,Saudi Arabian Grand Prix,HUL,Aston Martin,17.0,12.0,Finished,0.0,0.0,0.0,0.0
2022,2,Saudi Arabian Grand Prix,STR,Aston Martin,13.0,13.0,+1 Lap,0.0,0.0,0.0,0.0
2022,2,Saudi Arabian Grand Prix,ALB,Williams,16.0,14.0,Collision damage,0.0,0.0,0.0,0.0
2022,2,Saudi Arabian Grand Prix,BOT,Alfa Romeo,8.0,15.0,Cooling system,0.0,8.0,9.0,0.0
2022,2,Saudi Arabian Grand Prix,ALO,Alpine,7.0,16.0,Water pump,0.0,2.0,16.0,0.0
2022,2,Saudi Arabian Grand Prix,RIC,McLaren,14.0,17.0,Gearbox,0.0,0.0,6.0,0.0
